Country;Happiness.Rank;Happiness.Score;Economy..GDP.per.Capita.;Family;Health..Life.Expectancy.;Freedom;Trust..Government.Corruption.;Generosity;Dystopia.Residual;Year
Bahrain;41;608.699.989.318.848;148.841.226.100.922;132.311.046.123.505;0.653133034706116;0.536746919155121;0.257042169570923;0.172668486833572;165.614.938.735.962;2017
Malaysia;42;608.400.011.062.622;129.121.541.976.929;128.464.603.424.072;0.618784427642822;0.402264982461929;0.0656007081270218;0.416608929634094;200.444.889.068.604;2017
Nicaragua;43;607.100.009.918.213;0.737299203872681;128.721.570.968.628;0.653095960617065;0.447551846504211;0.130687981843948;0.301674216985703;251.393.055.915.833;2017
Ecuador;44;600.799.989.700.317;100.082.039.833.069;128.616.881.370.544;0.685636222362518;0.4551981985569;0.140134647488594;0.150112465023994;229.035.258.293.152;2017
El Salvador;45;600.299.978.256.226;0.909784495830536;118.212.509.155.273;0.596018552780151;0.432452529668808;0.0899809598922729;0.0782579854130745;27.145.938.873.291;2017
Poland;46;597.300.004.959.106;129.178.786.277.771;144.571.197.032.928;0.699475347995758;0.520342111587524;0.0593078061938286;0.158465966582298;179.772.281.646.729;2017
Uzbekistan;47;597.100.019.454.956;0.786441087722778;154.896.914.958.954;0.498272627592087;0.658248662948608;0.246528223156929;0.415983647108078;181.691.360.473.633;2017
Italy;48;596.400.022.506.714;139.506.661.891.937;144.492.328.166.962;0.853144347667694;0.256450712680817;0.0280280914157629;0.17278964817524;181.331.205.368.042;2017
Russia;49;596.299.982.070.923;128.177.809.715.271;146.928.238.868.713;0.547349333763123;0.373783111572266;0.0329628810286522;0.0522638224065304;220.560.741.424.561;2017
Belize;50;595.599.985.122.681;0.907975316047668;108.141.779.899.597;0.450191766023636;0.547509372234344;0.0965810716152191;0.240015640854836;263.195.562.362.671;2017
Japan;51;592.000.007.629.395;141.691.517.829.895;143.633.782.863.617;0.913475871086121;0.505625545978546;0.163760736584663;0.12057276815176;136.322.355.270.386;2017
Lithuania;52;590.199.995.040.894;131.458.234.786.987;147.351.610.660.553;0.62894994020462;0.234231784939766;0.0118656428530812;0.010164656676352;222.844.052.314.758;2017
Algeria;53;587.200.021.743.774;109.186.446.666.718;11.462.174.654.007;0.617584645748138;0.233335807919502;0.146096110343933;0.0694366469979286;256.760.382.652.283;2017
Latvia;54;584.999.990.463.257;126.074.862.480.164;140.471.494.197.845;0.638566970825195;0.325707912445068;0.0738427266478539;0.153074786067009;199.365.520.477.295;2017
South Korea;55;583.799.982.070.923;140.167.844.295.502;112.827.444.076.538;0.900214076042175;0.257921665906906;0.0632826685905457;0.206674367189407;188.037.800.788.879;2017
Moldova;56;583.799.982.070.923;0.728870630264282;125.182.557.106.018;0.589465200901031;0.240729048848152;0.0100912861526012;0.208779126405716;280.780.839.920.044;2017
Romania;57;582.499.980.926.514;121.768.391.132.355;115.009.129.047.394;0.685158312320709;0.457003742456436;0.00438790069893003;0.133519917726517;217.683.148.384.094;2017
Bolivia;58;582.299.995.422.363;0.833756566047668;122.761.905.193.329;0.473630249500275;0.558732926845551;0.0604777261614799;0.22556072473526;244.327.902.793.884;2017
Turkmenistan;59;582.200.002.670.288;113.077.676.296.234;149.314.916.133.881;0.437726080417633;0.41827192902565;0.259270340204239;0.24992498755455;183.290.982.246.399;2017
Kazakhstan;60;581.899.976.730.347;128.455.626.964.569;138.436.901.569.366;0.606041550636292;0.437454283237457;0.119282886385918;0.201964423060417;178.489.255.905.151;2017
North Cyprus;61;580.999.994.277.954;13.469.113.111.496;118.630.337.715.149;0.834647238254547;0.471203625202179;0.155353352427483;0.266845703125;154.915.761.947.632;2017
Slovenia;62;575.799.989.700.317;13.412.059.545.517;145.251.882.076.263;0.790828227996826;0.572575807571411;0.0451289787888527;0.242649093270302;131.331.729.888.916;2017
Peru;63;571.500.015.258.789;103.522.527.217.865;121.877.038.478.851;0.630166113376617;0.450002878904343;0.0470490865409374;0.126819714903831;220.726.943.016.052;2017
Mauritius;64;562.900.018.692.017;118.939.554.691.315;120.956.099.033.356;0.638007462024689;0.491247326135635;0.0421815551817417;0.360933750867844;16.975.839.138.031;2017
Cyprus;65;562.099.981.307.983;135.593.807.697.296;113.136.327.266.693;0.84471470117569;0.355111539363861;0.0412379764020443;0.271254301071167;162.124.919.891.357;2017
Estonia;66;561.100.006.103.516;132.087.934.017.181;147.667.109.966.278;0.695168316364288;0.479131430387497;0.183248922228813;0.0988908112049103;135.750.865.936.279;2017
Belarus;67;556.899.976.730.347;115.655.755.996.704;144.494.521.617.889;0.637714266777039;0.295400261878967;0.156313821673393;0.15513750910759;172.323.298.454.285;2017
Libya;68;552.500.009.536.743;110.180.306.434.631;135.756.433.010.101;0.520169019699097;0.465733230113983;0.0926102101802826;0.152073666453362;183.501.124.382.019;2017
Turkey;69;5.5;119.827.437.400.818;133.775.317.668.915;0.637605607509613;0.300740599632263;0.0996715798974037;0.0466930419206619;187.927.794.456.482;2017
Paraguay;70;549.300.003.051.758;0.932537317276001;150.728.487.968.445;0.579250693321228;0.473507791757584;0.091065913438797;0.224150657653809;16.853.334.903.717;2017
Hong Kong S.A.R.;71;547.200.012.207.031;155.167.484.283.447;126.279.091.835.022;0.943062424659729;0.490968644618988;0.293933749198914;0.374465793371201;0.554633140563965;2017
Philippines;72;542.999.982.833.862;0.85769921541214;125.391.757.488.251;0.468009054660797;0.585214674472809;0.0993318930268288;0.193513423204422;197.260.475.158.691;2017
Serbia;73;539.499.998.092.651;106.931.757.926.941;125.818.979.740.143;0.65078467130661;0.208715528249741;0.0409037806093693;0.220125883817673;194.708.442.687.988;2017
Jordan;74;533.599.996.566.772;0.991012394428253;123.908.889.293.671;0.604590058326721;0.418421149253845;0.11980327218771;0.172170460224152;179.117.655.754.089;2017
Hungary;75;532.399.988.174.438;12.860.119.342.804;134.313.309.192.657;0.687763452529907;0.175863519310951;0.0366369374096394;0.0784016624093056;171.645.927.429.199;2017
Jamaica;76;531.099.987.030.029;0.925579309463501;136.821.806.430.817;0.641022384166718;0.474307239055634;0.0552677810192108;0.233818337321281;161.232.566.833.496;2017
Croatia;77;529.300.022.125.244;122.255.623.340.607;0.96798300743103;0.701288521289825;0.255772292613983;0.0431031100451946;0.248002976179123;185.449.242.591.858;2017
Kosovo;78;527.899.980.545.044;0.951484382152557;113.785.350.322.723;0.541452050209045;0.260287940502167;0.0574716180562973;0.319931447505951;201.054.072.380.066;2017
China;79;527.299.976.348.877;108.116.579.055.786;116.083.741.188.049;0.741415500640869;0.472787708044052;0.0227942746132612;0.0288068410009146;176.493.859.291.077;2017
Pakistan;80;526.900.005.340.576;0.72688353061676;0.672690689563751;0.402047783136368;0.23521526157856;0.124348066747189;0.315446019172668;279.248.929.023.743;2017
Indonesia;81;526.200.008.392.334;0.995538592338562;127.444.469.928.741;0.492345720529556;0.443323463201523;0.0153171354904771;0.611704587936401;142.947.697.639.465;2017
Venezuela;82;5.25;112.843.120.098.114;143.133.759.498.596;0.617144227027893;0.153997123241425;0.0644911229610443;0.0650196298956871;178.946.375.846.863;2017
Montenegro;83;523.699.998.855.591;112.112.903.594.971;123.837.649.822.235;0.667464673519135;0.194989055395126;0.0881741940975189;0.197911024093628;172.919.154.167.175;2017
Morocco;84;52.350.001.335.144;0.878114581108093;0.774864435195923;0.59771066904068;0.408158332109451;0.0877631828188896;0.0322099551558495;245.618.939.399.719;2017
Azerbaijan;85;523.400.020.599.365;115.360.176.563.263;115.240.025.520.325;0.540775775909424;0.398155838251114;0.180987507104874;0.0452693402767181;176.248.168.945.312;2017
Dominican Republic;86;523.000.001.907.349;107.937.383.651.733;140.241.670.608.521;0.574873745441437;0.55258983373642;0.113945253193378;0.186967849731445;131.946.516.036.987;2017
Greece;87;522.700.023.651.123;128.948.748.111.725;123.941.457.271.576;0.810198903083801;0.0957312509417534;0.04328977689147;0;174.922.156.333.923;2017
Lebanon;88;522.499.990.463.257;107.498.753.070.831;112.962.424.755.096;0.735081076622009;0.288515985012054;0.037513829767704;0.264450758695602;169.507.384.300.232;2017
Portugal;89;519.500.017.166.138;13.151.752.948.761;136.704.301.834.106;0.795843541622162;0.498465299606323;0.0158694516867399;0.0951027125120163;110.768.270.492.554;2017
Bosnia and Herzegovina;90;518.200.016.021.729;0.982409417629242;10.693.359.375;0.705186307430267;0.204403176903725;0;0.328867495059967;189.217.257.499.695;2017
Honduras;91;518.100.023.269.653;0.730573117733002;114.394.497.871.399;0.582569479942322;0.348079860210419;0.0733454525470734;0.236188873648643;206.581.115.722.656;2017
Macedonia;92;517.500.019.073.486;106.457.793.712.616;120.789.301.395.416;0.644948184490204;0.325905978679657;0.0602777935564518;0.25376096367836;16.174.693.107.605;2017
Somalia;93;515.100.002.288.818;0.0226431842893362;0.721151351928711;0.113989137113094;0.602126955986023;0.282410323619843;0.291631311178207;311.748.456.954.956;2017
Vietnam;94;507.399.988.174.438;0.788547575473785;127.749.133.110.046;0.652168989181519;0.571055591106415;0.0876332372426987;0.234968051314354;146.231.865.882.874;2017
Nigeria;95;507.399.988.174.438;0.783756256103516;121.577.048.301.697;0.0569157302379608;0.394952565431595;0.0261215660721064;0.230947196483612;236.539.053.916.931;2017
Tajikistan;96;504.099.988.937.378;0.524713635444641;127.146.327.495.575;0.529235124588013;0.471566706895828;0.146377146244049;0.248997643589973;184.904.932.975.769;2017
Bhutan;97;501.100.015.640.259;0.885416388511658;134.012.651.443.481;0.495879292488098;0.501537680625916;0.173380389809608;0.474054545164108;114.018.440.246.582;2017
Kyrgyzstan;98;500.400.018.692.017;0.596220076084137;139.423.859.119.415;0.553457796573639;0.454943388700485;0.0394391790032387;0.42858037352562;153.672.313.690.186;2017
Nepal;99;496.199.989.318.848;0.479820191860199;117.928.326.129.913;0.504130780696869;0.440305948257446;0.0729755461215973;0.394096165895462;18.912.410.736.084;2017
Mongolia;100;495.499.992.370.605;102.723.586.559.296;14.930.112.361.908;0.557783484458923;0.394143968820572;0.0329022891819477;0.338464230298996;111.129.236.221.313;2017
South Africa;101;48.289.999.961.853;105.469.870.567.322;138.478.863.239.288;0.187080070376396;0.479246735572815;0.0725094974040985;0.139362379908562;151.090.860.366.821;2017
Tunisia;102;480.499.982.833.862;100.726.580.619.812;0.868351459503174;0.613212049007416;0.289680689573288;0.0867231488227844;0.0496933571994305;189.025.115.966.797;2017
Palestinian Territories;103;477.500.009.536.743;0.716249227523804;115.564.715.862.274;0.565666973590851;0.25471106171608;0.0892826020717621;0.114173173904419;18.788.902.759.552;2017
Egypt;104;47.350.001.335.144;0.989701807498932;0.997471392154694;0.520187258720398;0.282110154628754;0.114381365478039;0.128631442785263;170.216.107.368.469;2017
Bulgaria;105;471.400.022.506.714;11.614.590.883.255;143.437.945.842.743;0.708217680454254;0.289231717586517;0.0110515309497714;0.113177694380283;0.996139287948608;2017
Sierra Leone;106;470.900.011.062.622;0.36842092871666;0.984136044979095;0.00556475389748812;0.318697690963745;0.0710951760411263;0.293040901422501;266.845.989.227.295;2017
Cameroon;107;469.500.017.166.138;0.564305365085602;0.946018218994141;0.132892116904259;0.430388748645782;0.0513066314160824;0.236298456788063;23.336.455.821.991;2017
Iran;108;469.199.991.226.196;115.687.310.695.648;0.711551249027252;0.639333188533783;0.249322608113289;0.048761073499918;0.387242913246155;149.873.495.101.929;2017
Albania;109;464.400.005.340.576;0.996192753314972;0.803685247898102;0.731159746646881;0.381498634815216;0.0398642159998417;0.201312944293022;149.044.156.074.524;2017
Bangladesh;110;460.799.980.163.574;0.586682975292206;0.735131740570068;0.533241033554077;0.478356659412384;0.123717859387398;0.172255352139473;197.873.616.218.567;2017
Namibia;111;457.399.988.174.438;0.964434325695038;10.984.708.070.755;0.33861181139946;0.520303547382355;0.0931469723582268;0.0771337449550629;14.818.902.015.686;2017
Kenya;112;455.299.997.329.712;0.560479462146759;106.795.072.555.542;0.309988349676132;0.452763766050339;0.0646413192152977;0.444860309362411;16.519.021.987.915;2017
Mozambique;113;455.000.019.073.486;0.234305649995804;0.870701014995575;0.106654435396194;0.480791091918945;0.179436385631561;0.322228103876114;235.565.090.179.443;2017
Myanmar;114;454.500.007.629.395;0.367110550403595;112.323.594.093.323;0.397522568702698;0.514492034912109;0.188816204667091;0.838075160980225;111.529.040.336.609;2017
Senegal;115;453.499.984.741.211;0.479309022426605;117.969.191.074.371;0.409362852573395;0.377922266721725;0.115460447967052;0.183468893170357;178.964.614.868.164;2017
Zambia;116;451.399.993.896.484;0.636406779289246;100.318.729.877.472;0.257835894823074;0.461603492498398;0.0782135501503944;0.249580144882202;182.670.545.578.003;2017
Iraq;117;449.700.021.743.774;110.271.048.545.837;0.978613197803497;0.501180469989777;0.288555532693863;0.107215754687786;0.19963726401329;131.890.726.089.478;2017
Gabon;118;446.500.015.258.789;11.982.102.394.104;11.556.202.173.233;0.356578588485718;0.312328577041626;0.0760467872023582;0.0437853783369064;132.291.626.930.237;2017
Ethiopia;119;446.000.003.814.697;0.339233845472336;0.86466920375824;0.353409707546234;0.408842742443085;0.165455713868141;0.312650740146637;201.574.373.245.239;2017
Sri Lanka;120;444.000.005.722.046;100.985.014.438.629;125.997.638.702.393;0.625130832195282;0.561213254928589;0.0736539661884308;0.490863561630249;0.419389247894287;2017
Armenia;121;437.599.992.752.075;0.900596737861633;100.748.372.077.942;0.637524425983429;0.198303267359734;0.0266744215041399;0.0834880918264389;15.214.991.569.519;2017
India;122;431.500.005.722.046;0.792221248149872;0.754372596740723;0.455427616834641;0.469987004995346;0.0922268852591515;0.231538489460945;15.191.171.169.281;2017
Mauritania;123;429.199.981.689.453;0.648457288742065;12.720.308.303.833;0.285349279642105;0.0960980430245399;0.136957004666328;0.201870024204254;165.163.731.575.012;2017
Congo (Brazzaville);124;429.099.988.937.378;0.808964252471924;0.832044363021851;0.28995743393898;0.435025870800018;0.0796181336045265;0.120852127671242;172.413.563.728.333;2017
Georgia;125;428.599.977.493.286;0.950612664222717;0.57061493396759;0.649546980857849;0.309410035610199;0.251666635274887;0.0540088154375553;150.013.780.593.872;2017
Congo (Kinshasa);126;428.000.020.980.835;0.0921023488044739;122.902.345.657.349;0.191407024860382;0.235961347818375;0.0602413564920425;0.246455833315849;222.495.865.821.838;2017
Mali;127;419.000.005.722.046;0.476180493831635;128.147.339.820.862;0.169365674257278;0.306613743305206;0.104970246553421;0.183354198932648;166.819.095.611.572;2017
Ivory Coast;128;417.999.982.833.862;0.603048920631409;0.904780030250549;0.0486421696841717;0.447706192731857;0.130061775445938;0.201237469911575;184.496.426.582.336;2017
Cambodia;129;416.800.022.125.244;0.601765096187592;100.623.834.133.148;0.429783403873444;0.633375823497772;0.0681059509515762;0.385922968387604;104.294.109.344.482;2017
Sudan;130;413.899.993.896.484;0.65951669216156;121.400.856.971.741;0.290920823812485;0.0149958552792668;0.089847519993782;0.182317450642586;168.706.583.976.746;2017
Ghana;131;411.999.988.555.908;0.667224824428558;0.873664736747742;0.295637726783752;0.423026293516159;0.0253363698720932;0.256923943758011;157.786.750.793.457;2017
Ukraine;132;409.600.019.454.956;0.89465194940567;139.453.756.809.235;0.575903952121735;0.122974775731564;0.0230294708162546;0.270061463117599;0.814382314682007;2017
Uganda;133;408.099.985.122.681;0.381430715322495;112.982.773.780.823;0.217632606625557;0.443185955286026;0.057069718837738;0.325766056776047;1.526.362.657.547;2017
Burkina Faso;134;403.200.006.484.985;0.3502277135849;104.328.000.545.502;0.215844258666039;0.324367851018906;0.120328105986118;0.250864684581757;172.721.290.588.379;2017
Niger;135;402.799.987.792.969;0.161925330758095;0.993025004863739;0.26850500702858;0.36365869641304;0.138572946190834;0.228673845529556;187.398.338.317.871;2017
Malawi;136;397.000.002.861.023;0.233442038297653;0.512568831443787;0.315089583396912;0.466914653778076;0.0727116540074348;0.287170469760895;208.178.615.570.068;2017
Chad;137;393.600.010.871.887;0.438012987375259;0.953855872154236;0.0411347150802612;0.16234202682972;0.0535818822681904;0.216113850474358;207.123.804.092.407;2017
Zimbabwe;138;3.875;0.375846534967422;108.309.590.816.498;0.196763753890991;0.336384207010269;0.0953753814101219;0.189143493771553;159.797.024.726.868;2017
Lesotho;139;380.800.008.773.804;0.521021246910095;119.009.518.623.352;0;0.390661299228668;0.119094640016556;0.157497271895409;142.983.531.951.904;2017
Angola;140;379.500.007.629.395;0.858428180217743;110.441.195.964.813;0.0498686656355858;0;0.0697203353047371;0.097926490008831;161.448.240.280.151;2017
Afghanistan;141;379.399.991.035.461;0.401477217674255;0.581543326377869;0.180746778845787;0.106179520487785;0.0611578300595284;0.311870932579041;215.080.118.179.321;2017
Botswana;142;376.600.003.242.493;112.209.415.435.791;122.155.499.458.313;0.341755509376526;0.505196332931519;0.0985831990838051;0.0993484482169151;0.3779137134552;2017
Benin;143;365.700.006.484.985;0.431085407733917;0.435299843549728;0.209930211305618;0.425962775945663;0.0609290152788162;0.207948461174965;188.563.096.523.285;2017
Madagascar;144;364.400.005.340.576;0.305808693170547;0.913020372390747;0.375223308801651;0.189196765422821;0.0672319754958153;0.208732530474663;158.461.260.795.593;2017
Haiti;145;36.029.999.256.134;0.368610262870789;0.640449821949005;0.277321130037308;0.0303698573261499;0.0998721495270729;0.489203780889511;169.716.763.496.399;2017
Yemen;146;359.299.993.515.015;0.591683447360992;0.93538224697113;0.310080915689468;0.249463722109795;0.0567674227058887;0.104125209152699;134.560.060.501.099;2017
South Sudan;147;359.100.008.010.864;0.39724862575531;0.601323127746582;0.163486003875732;0.147062435746193;0.116793513298035;0.285670816898346;187.956.738.471.985;2017
Liberia;148;353.299.999.237.061;0.119041793048382;0.872117936611176;0.229918196797371;0.332881182432175;0.0389482490718365;0.26654988527298;167.328.596.115.112;2017
Guinea;149;350.699.996.948.242;0.244549930095673;0.791244685649872;0.194129139184952;0.348587512969971;0.110937617719173;0.264815092086792;155.231.189.727.783;2017
Togo;150;349.499.988.555.908;0.305444717407227;0.431882530450821;0.247105568647385;0.38042613863945;0.0956650152802467;0.196896150708199;183.722.925.186.157;2017
Rwanda;151;347.099.995.613.098;0.368745893239975;0.945707023143768;0.326424807310104;0.581843852996826;0.455220013856888;0.252756029367447;0.540061235427856;2017
Syria;152;346.199.989.318.848;0.777153134346008;0.396102607250214;0.50053334236145;0.0815394446253777;0.151347130537033;0.493663728237152;106.157.350.540.161;2017
Tanzania;153;334.899.997.711.182;0.511135876178741;104.198.980.331.421;0.364509284496307;0.390017777681351;0.0660351067781448;0.354256361722946;0.621130466461182;2017
Burundi;154;290.499.997.138.977;0.091622568666935;0.629793584346771;0.151610791683197;0.0599007532000542;0.0841479450464249;0.204435184597969;168.302.416.801.453;2017
Central African Republic;155;269.300.007.820.129;0;0;0.0187726859003305;0.270842045545578;0.0565650761127472;0.280876487493515;206.600.475.311.279;2017
Denmark;1;7.526;144.178;116.374;0.79504;0.57941;0.44453;0.36171;273.939;2016
Switzerland;2;7.509;152.733;114.524;0.86303;0.58557;0.41203;0.28083;269.463;2016
Iceland;3;7.501;142.666;118.326;0.86733;0.56624;0.14975;0.47678;283.137;2016
Norway;4;7.498;157.744;11.269;0.79579;0.59609;0.35776;0.37895;266.465;2016
Finland;5;7.413;140.598;113.464;0.81091;0.57104;0.41004;0.25492;282.596;2016
Canada;6;7.404;144.015;10.961;0.8276;0.5737;0.31329;0.44834;270.485;2016
Netherlands;7;7.339;146.468;102.912;0.81231;0.55211;0.29927;0.47416;270.749;2016
New Zealand;8;7.334;136.066;117.278;0.83096;0.58147;0.41904;0.49401;247.553;2016
Australia;9;7.313;144.443;110.476;0.8512;0.56837;0.32331;0.47407;25.465;2016
Sweden;10;7.291;145.181;108.764;0.83121;0.58218;0.40867;0.38254;254.734;2016
Israel;11;7.267;133.766;0.99537;0.84917;0.36432;0.08728;0.32288;331.029;2016
Austria;12;7.119;145.038;108.383;0.80565;0.54355;0.21348;0.32865;269.343;2016
United States;13;7.104;150.796;104.782;0.779;0.48163;0.14868;0.41077;272.782;2016
Costa Rica;14;7.087;106.879;102.152;0.76146;0.55225;0.10547;0.22553;335.168;2016
Puerto Rico;15;7.039;135.943;108.113;0.77758;0.46823;0.12275;0.22202;30.076;2016
Germany;16;6.994;144.787;109.774;0.81487;0.53466;0.28551;0.30452;250.931;2016
Brazil;17;6.952;108.754;103.938;0.61415;0.40425;0.14166;0.15776;350.733;2016
Belgium;18;6.929;142.539;105.249;0.81959;0.51354;0.26248;0.2424;261.355;2016
Ireland;19;6.907;148.341;116.157;0.81455;0.54008;0.29754;0.44963;215.988;2016
Luxembourg;20;6.871;169.752;103.999;0.84542;0.5487;0.35329;0.27571;211.055;2016
Mexico;21;6.778;111.508;0.7146;0.71143;0.37709;0.18355;0.11735;355.906;2016
Singapore;22;6.739;164.555;0.86758;0.94719;0.4877;0.46987;0.32706;199.375;2016
United Kingdom;23;6.725;140.283;108.672;0.80991;0.50036;0.27399;0.50156;214.999;2016
Chile;24;6.705;12.167;0.90587;0.81883;0.37789;0.11451;0.31595;295.505;2016
Panama;25;6.701;118.306;0.98912;0.70835;0.48927;0.08423;0.2418;300.559;2016
